Итерация номер 1	
Номер узла 	U1 	U2 	U 	delta 	
41	9,62772387275376	-0,223236952862027	9,63031161007346	-0,023182733768295	
21	9,622525980021	-0,227845436441569	9,62522310282137	-0,0236739157341407	
3	9,71888623163515	-0,242913822218629	9,7219214514669	-0,0249887952829081	
17	9,64729793848949	-0,235832252426437	9,65018001724673	-0,0244405526465112	
72	0,372014897613026	-0,0186405403925058	0,372481615374712	-0,050065101285322	
59	0,376576566068995	-0,0193077523891984	0,377071212657024	-0,0512269271372712	
81	0,370265467465667	-0,0169182780470331	0,370651783389269	-0,0456605337171617	
57	0,368766532123983	-0,0175938831193777	0,369185996400143	-0,047673935722615	
54	0,379473462343283	-0,0140626386444343	0,379733941633406	-0,0370413424161046	
56	0,366857070811816	-0,020825662985559	0,367447708719777	-0,0567069221203785	
75	0,370990571985095	-0,0155415345525824	0,371315962218267	-0,0418675130967789	
66	0,37411687905765	-0,0194783571933103	0,374623605229017	-0,052017929452243	
68	0,374361166233366	-0,0173756091594015	0,374764185291586	-0,0463807403762349	
70	0,371862787076645	-0,0167705578014792	0,372240760827429	-0,0450682411907635	
73	0,371805796073119	-0,0188560994106259	0,372283631762866	-0,050671502521456	
76	0,370751117038851	-0,0173571429156274	0,371157192030208	-0,0467819998746083	
61	0,376195775661478	-0,0170706491259452	0,376582884219559	-0,0453459291655594	
79	0,370872788343736	-0,0152411723968489	0,371185827409787	-0,0410723073394762	
63	0,374861238334482	-0,0174594568925039	0,37526761203259	-0,0465421509603784	
77	0,371350578310841	-0,0157141951042444	0,371682913166008	-0,0422911028799374	
64	0,367305973842458	-0,0314174611905673	0,36864716910349	-0,0853271634313457	
23	0,378155937217371	-0,0145401811901523	0,378435370600834	-0,0384312941083875	
20	0,387670363537514	-0,0180398091277468	0,388089867786668	-0,0465003429829057	
18	0,381635034488181	-0,0130107892942143	0,381856753491219	-0,0340790307595359	
24	0,380380020888181	-0,0124470471345429	0,380583616664278	-0,0327109907217942	
29	0,379123515907632	-0,0199997507471803	0,37965066883138	-0,0527037464317744	
27	0,373728328140268	-0,013474833497343	0,373971167862311	-0,0360395454505942	
25	0,378001503371453	-0,0155814238452792	0,378322504379696	-0,0411972114524443	
9	0,381856885841209	-0,0139040837976335	0,38210993812069	-0,0363956876010552	
7	0,375107023660019	-0,0117065411442624	0,37528965120909	-0,0311984100757512	
5	0,376414793972858	-0,0249642791557414	0,377241716085847	-0,0662242134107861	
12	0,38038122745549	-0,0140831509155234	0,380641843916633	-0,0370068770802023	
16	0,380645094794394	-0,0136871839136378	0,380891096239488	-0,0359423768839413	
14	0,380604120952328	-0,0144493553391142	0,380878301765289	-0,0379460406749818	
13	0,388014700430222	-0,0194533635896735	0,388502047748667	-0,050093692063388	
45	0,372714106518561	-0,0137643137289163	0,372968177637661	-0,0369131762092344	
43	0,379769591255958	-0,0130429327558512	0,379993500651776	-0,0343308376762219	
42	0,378513692720608	-0,0142226285528339	0,378780805664626	-0,0375572692920202	
47	0,370966093681748	-0,0152529902403373	0,371279539394197	-0,0410937916604087	
52	0,377699354291545	-0,0201253050799364	0,378235151905281	-0,0532335859128485	
50	0,380899991189512	-0,0139830470479971	0,381156567427241	-0,0366940692080122	
49	0,378468833001735	-0,0173408917117943	0,378865891944703	-0,0457865236407283	
35	0,38021941236431	-0,0143048713432181	0,380488410970436	-0,0376049387620323	
33	0,370553014691064	-0,0138892244415611	0,370813224214326	-0,0374648832877584	
31	0,381138605620688	-0,0140862302147867	0,381398818267894	-0,0369414741174632	
36	0,378959272522853	-0,0138710170200734	0,379213047434053	-0,0365865894423937	
82	0,370545778693322	-0,0166220078537122	0,370918407810301	-0,0448281238263292	
40	0,379950972805946	-0,0131745544277015	0,380179313772532	-0,0346604672870276	
38	0,380382544257245	-0,0129698593647237	0,380603595920422	-0,0340836792374513	
F= 3,11483469628919E-11	
vhod v zony rascheta
vhod v ustranenie pi min
vhod v obratniy
